Method,Pop,Mut,AvgTime,SuccessRate,SpeedScore
GA_B_1,50,0.2,0.2437,100.0,4.1034058268362745
GA_B_1,100,0.2,0.2521,100.0,3.9666798889329633
GA_B_1,100,0.1,0.2633,100.0,3.7979491074819602
GA_B_1,150,0.2,0.3016,100.0,3.3156498673740056
GA_B_1,50,0.1,0.3227,100.0,3.098853424233034
GA_B_1,150,0.1,0.4157,100.0,2.405580947798893
GA_B_1,150,0.05,1.1436,100.0,0.8744316194473593
GA_B_1,50,0.05,1.8066,80.0,0.442820768294033
GA_C,50,0.05,4.2906,20.0,0.046613527245606676
GA_B_1,100,0.05,2.3351,80.0,0.34259774741981075
GA_C,50,0.1,4.584,20.0,0.04363001745200699
GA_C,50,0.2,5.0,0.0,0.0
GA_C,100,0.05,4.2753,60.0,0.14034102869974036
GA_C,100,0.2,5.0,0.0,0.0
GA_C,100,0.1,5.0,0.0,0.0
GA_C,150,0.05,5.514,100.0,0.18135654697134565
GA_C,150,0.1,5.0,0.0,0.0
GA_C,150,0.2,5.0,0.0,0.0
