Method,PopSize,MutRate,BestFitness,Duration,GenFound
GA_C,150,0.01,14388.58,0.291,60
GA_C,50,0.05,14388.58,0.505,334
GA_C,200,0.01,14388.58,0.487,72
GA_C,100,0.01,14388.58,0.813,262
GA_C,80,0.01,14388.58,1.244,509
GA_C,50,0.01,14085.28,1.398,1000
GA_C,50,0.1,14188.78,1.658,1000
GA_C,50,0.2,13909.55,1.989,1000
GA_C,50,0.15,13867.19,2.113,1000
GA_C,80,0.05,14079.65,2.504,1000
GA_B_1,50,0.01,13889.845,1.35,17
GA_C,80,0.1,14118.12,3.134,1000
GA_B_1,50,0.05,14388.580000000002,1.502,23
GA_C,80,0.15,13481.01,3.22,1000
GA_C,80,0.2,14072.55,3.379,1000
GA_C,100,0.15,13705.87,3.542,1000
GA_C,100,0.05,14131.2,3.567,1000
GA_B_1,50,0.1,14388.580000000002,1.669,14
GA_C,100,0.1,13962.24,3.8,1000
GA_B_1,50,0.15,14388.580000000002,1.769,12
GA_C,100,0.2,13886.23,4.283,1000
GA_B_1,50,0.2,14388.580000000002,2.29,16
GA_C,150,0.05,14230.6,4.994,1000
GA_B_1,80,0.01,13950.112307692309,2.349,13
GA_C,150,0.1,13937.19,5.811,1000
GA_B_1,80,0.05,14388.580000000002,2.937,13
GA_B_1,80,0.1,14388.580000000002,2.917,16
GA_C,150,0.15,13672.27,6.195,1000
GA_C,150,0.2,13151.76,6.511,1000
GA_B_1,80,0.15,14388.580000000002,3.308,13
GA_B_1,100,0.01,14133.97,3.194,15
GA_B_1,100,0.1,14388.580000000002,3.411,9
GA_B_1,80,0.2,14388.580000000002,3.707,12
GA_C,200,0.05,14127.8,6.607,1000
GA_B_1,100,0.05,14388.580000000002,3.552,20
GA_C,200,0.1,14021.71,7.094,1000
GA_B_1,100,0.2,14388.580000000002,3.996,16
GA_B_1,100,0.15,14388.580000000002,4.099,13
GA_C,200,0.15,13701.32,7.583,1000
GA_B_1,150,0.05,14065.441739130434,3.741,10
GA_C,200,0.2,13737.89,7.406,1000
GA_B_1,150,0.01,14388.580000000002,4.489,11
GA_B_1,200,0.01,13913.486666666666,3.853,16
GA_B_1,150,0.1,14388.580000000002,4.981,9
GA_B_1,150,0.2,14388.580000000002,4.425,13
GA_B_1,200,0.05,14065.441739130434,4.175,9
GA_B_1,150,0.15,14388.580000000002,5.252,15
GA_B_1,200,0.1,14388.580000000002,4.22,15
GA_B_1,200,0.15,14388.580000000002,4.372,9
GA_B_1,200,0.2,14388.580000000002,4.949,12
